iter	Passed	Remaining
1460	51789	302691
1461	51824	302652
1462	51855	302589
1463	51886	302528
1464	51924	302507
1465	51956	302456
1466	51987	302393
1467	52022	302353
1468	52068	302378
1469	52101	302333
1470	52135	302288
1471	52172	302257
1472	52203	302200
1473	52242	302185
1474	52274	302126
1475	52308	302087
1476	52502	302963
1477	52550	302998
1478	52587	302974
1479	52625	302952
1480	52666	302945
1481	52698	302889
1482	52732	302849
1483	52765	302800
1484	52799	302751
1485	52841	302753
1486	52875	302711
1487	52908	302658
1488	52945	302631
1489	52981	302601
1490	53025	302613
1491	53061	302577
1492	53090	302508
1493	53123	302455
1494	53156	302407
1495	53185	302332
1496	53217	302275
1497	53252	302240
1498	53284	302182
1499	53316	302125
1500	53348	302069
1501	53383	302029
1502	53420	302007
1503	53456	301970
1504	53490	301928
1505	53623	302440
1506	53667	302455
1507	53712	302468
1508	53747	302430
1509	53779	302374
1510	53808	302303
1511	53842	302258
1512	53874	302204
1513	53908	302160
1514	53941	302110
1515	53975	302062
1516	54005	301996
1517	54047	301995
1518	54084	301970
1519	54136	302021
1520	54179	302027
1521	54213	301987
1522	54242	301913
1523	54273	301849
1524	54303	301785
1525	54336	301737
1526	54369	301682
1527	54404	301647
1528	54435	301584
1529	54466	301523
1530	54500	301481
1531	54532	301426
1532	54569	301396
1533	54600	301337
1534	54632	301277
1535	54767	301792
1536	54815	301826
1537	54857	301825
1538	54902	301836
1539	54941	301820
1540	54976	301783
1541	55007	301723
1542	55042	301679
1543	55091	301720
1544	55124	301665
1545	55166	301665
1546	55202	301630
1547	55235	301583
1548	55270	301545
1549	55301	301482
1550	55333	301426
1551	55366	301376
1552	55398	301321
1553	55429	301261
1554	55461	301203
1555	55493	301149
1556	55524	301088
1557	55558	301041
1558	55591	300990
1559	55628	300965
1560	55671	300970
1561	55706	300930
1562	55741	300891
1563	55910	301573
1564	55954	301582
1565	55995	301574
1566	56049	301635
1567	56091	301635
1568	56126	301595
1569	56160	301547
1570	56193	301500
1571	56232	301482
1572	56264	301425
1573	56298	301379
1574	56330	301325
1575	56365	301285
1576	56402	301253
1577	56435	301206
1578	56470	301166
1579	56501	301103
1580	56534	301054
1581	56566	300995
1582	56601	300959
1583	56637	300924
1584	56677	300907
1585	56713	300874
1586	56747	300829
1587	56781	300782
1588	56816	300743
1589	56849	300697
1590	56885	300660
1591	57032	301211
1592	57067	301172
1593	57100	301122
1594	57137	301088
1595	57172	301051
1596	57206	301003
1597	57235	300933
1598	57268	300881
1599	57303	300841
1600	57333	300779
1601	57366	300726
1602	57398	300670
1603	57435	300641
1604	57469	300593
1605	57503	300553
1606	57534	300491
1607	57565	300430
1608	57595	300361
1609	57624	300290
1610	57657	300243
1611	57691	300197
1612	57724	300143
1613	57754	300081
1614	57783	300009
1615	57812	299939
1616	57842	299872
1617	57879	299841
1618	57910	299783
1619	57942	299724
1620	57990	299753
1621	58158	300400
1622	58191	300351
1623	58233	300346
1624	58265	300290
1625	58299	300246
1626	58331	300192
1627	58365	300143
1628	58418	300197
1629	58458	300184
1630	58497	300161
1631	58539	300156
1632	58582	300156
1633	58618	300121
1634	58653	300081
1635	58688	300042
1636	58722	299998
1637	58765	299996
1638	58801	299963
1639	58837	299927
1640	58872	299888
1641	58908	299853
1642	58944	299816
1643	58978	299769
1644	59015	299741
1645	59049	299696
1646	59082	299646
1647	59122	299633
1648	59158	299593
1649	59297	300083
1650	59359	300177
1651	59395	300140
1652	59432	300108
1653	59468	300073
1654	59502	300028
1655	59536	299983
1656	59571	299944
1657	59601	299879
1658	59638	299844
1659	59668	299779
1660	59702	299733
